longitude,latitude,forecast_date,param,param_tag,54h,60h,66h,72h
91.25,27.5,14-09-2025,temperature_celcius,t2m_cel,17.27602539,16.02370605,13.78878174,13.04720459
91.5,27.5,14-09-2025,temperature_celcius,t2m_cel,17.21352539,16.71120605,14.35128174,13.70345459
91.75,27.5,14-09-2025,temperature_celcius,t2m_cel,17.11977539,16.96120605,14.82003174,14.60970459
92,27.5,14-09-2025,temperature_celcius,t2m_cel,13.21352539,12.33620605,9.413781738,8.82845459
88.75,27.25,14-09-2025,temperature_celcius,t2m_cel,16.65102539,16.42995605,14.85128174,14.60970459
89,27.25,14-09-2025,temperature_celcius,t2m_cel,15.24477539,13.80495605,12.28878174,11.04720459
89.25,27.25,14-09-2025,temperature_celcius,t2m_cel,13.49477539,14.05495605,10.88253174,9.51595459
89.5,27.25,14-09-2025,temperature_celcius,t2m_cel,15.05727539,14.96120605,12.41378174,11.01595459
89.75,27.25,14-09-2025,temperature_celcius,t2m_cel,12.61977539,12.39870605,9.913781738,9.32845459
90,27.25,14-09-2025,temperature_celcius,t2m_cel,20.33852539,21.02370605,17.75753174,17.76595459
90.25,27.25,14-09-2025,temperature_celcius,t2m_cel,14.30727539,14.14870605,12.88253174,12.57845459
90.5,27.25,14-09-2025,temperature_celcius,t2m_cel,18.52602539,17.96120605,15.35128174,15.04720459
90.75,27.25,14-09-2025,temperature_celcius,t2m_cel,16.30727539,17.17995605,15.00753174,14.82845459
91,27.25,14-09-2025,temperature_celcius,t2m_cel,15.21352539,15.14870605,13.47628174,13.39095459
91.25,27.25,14-09-2025,temperature_celcius,t2m_cel,20.96352539,21.11745605,18.41378174,18.04720459
91.5,27.25,14-09-2025,temperature_celcius,t2m_cel,19.21352539,19.52370605,17.44503174,16.82845459
91.75,27.25,14-09-2025,temperature_celcius,t2m_cel,14.11977539,13.27370605,11.88253174,11.29720459
92,27.25,14-09-2025,temperature_celcius,t2m_cel,12.83852539,12.30495605,10.35128174,10.32845459
88.75,27,14-09-2025,temperature_celcius,t2m_cel,22.86977539,22.21120605,21.41378174,20.57845459
89,27,14-09-2025,temperature_celcius,t2m_cel,21.80727539,21.96120605,20.75753174,20.14095459
89.25,27,14-09-2025,temperature_celcius,t2m_cel,20.40102539,20.14870605,19.07003174,18.23470459
89.5,27,14-09-2025,temperature_celcius,t2m_cel,17.68227539,17.58620605,16.25753174,15.76595459
89.75,27,14-09-2025,temperature_celcius,t2m_cel,16.86977539,17.02370605,14.88253174,14.54720459
90,27,14-09-2025,temperature_celcius,t2m_cel,21.65102539,20.96120605,19.44503174,18.89095459
90.25,27,14-09-2025,temperature_celcius,t2m_cel,19.71352539,20.80495605,18.47628174,17.85970459
90.5,27,14-09-2025,temperature_celcius,t2m_cel,20.71352539,21.77370605,20.07003174,19.45345459
90.75,27,14-09-2025,temperature_celcius,t2m_cel,19.43227539,20.58620605,18.41378174,18.10970459
91,27,14-09-2025,temperature_celcius,t2m_cel,20.55727539,21.30495605,19.22628174,18.73470459
91.25,27,14-09-2025,temperature_celcius,t2m_cel,22.21352539,22.21120605,20.19503174,19.67220459
91.5,27,14-09-2025,temperature_celcius,t2m_cel,20.99477539,19.86745605,18.00753174,17.32845459
91.75,27,14-09-2025,temperature_celcius,t2m_cel,18.55727539,18.71120605,17.19503174,16.95345459
92,27,14-09-2025,temperature_celcius,t2m_cel,20.24477539,20.21120605,19.10128174,18.67220459
88.75,26.75,14-09-2025,temperature_celcius,t2m_cel,26.93227539,28.42995605,24.32003174,23.95345459
89,26.75,14-09-2025,temperature_celcius,t2m_cel,26.74477539,28.08620605,25.13253174,24.07845459
89.25,26.75,14-09-2025,temperature_celcius,t2m_cel,25.55727539,27.24245605,25.16378174,24.14095459
89.5,26.75,14-09-2025,temperature_celcius,t2m_cel,24.68227539,25.92995605,23.69503174,23.51595459
89.75,26.75,14-09-2025,temperature_celcius,t2m_cel,23.36977539,24.33620605,22.66378174,22.35970459
90,26.75,14-09-2025,temperature_celcius,t2m_cel,24.65102539,25.71120605,23.44503174,22.51595459
90.25,26.75,14-09-2025,temperature_celcius,t2m_cel,25.43227539,26.99245605,24.22628174,23.39095459
90.5,26.75,14-09-2025,temperature_celcius,t2m_cel,25.36977539,27.55495605,25.97628174,24.45345459
90.75,26.75,14-09-2025,temperature_celcius,t2m_cel,24.55727539,25.96120605,23.63253174,23.26595459
91,26.75,14-09-2025,temperature_celcius,t2m_cel,26.27602539,26.83620605,24.66378174,24.26595459
91.25,26.75,14-09-2025,temperature_celcius,t2m_cel,26.46352539,26.89870605,25.10128174,24.10970459
91.5,26.75,14-09-2025,temperature_celcius,t2m_cel,26.18227539,27.77370605,25.75753174,24.07845459
91.75,26.75,14-09-2025,temperature_celcius,t2m_cel,26.74477539,27.71120605,25.88253174,24.23470459
92,26.75,14-09-2025,temperature_celcius,t2m_cel,27.08852539,27.92995605,25.32003174,24.39095459
88.75,28.25,14-09-2025,surface_area,surface,0,0,0,0
89,28.25,14-09-2025,surface_area,surface,0,0,0,0
89.25,28.25,14-09-2025,surface_area,surface,0,0,0,0
89.5,28.25,14-09-2025,surface_area,surface,0,0,0,0
89.75,28.25,14-09-2025,surface_area,surface,0,0,0,0
90,28.25,14-09-2025,surface_area,surface,0,0,0,0
90.25,28.25,14-09-2025,surface_area,surface,0,0,0,0
90.5,28.25,14-09-2025,surface_area,surface,0,0,0,0
90.75,28.25,14-09-2025,surface_area,surface,0,0,0,0
91,28.25,14-09-2025,surface_area,surface,0,0,0,0
91.25,28.25,14-09-2025,surface_area,surface,0,0,0,0
91.5,28.25,14-09-2025,surface_area,surface,0,0,0,0
91.75,28.25,14-09-2025,surface_area,surface,0,0,0,0
92,28.25,14-09-2025,surface_area,surface,0,0,0,0
88.75,28,14-09-2025,surface_area,surface,0,0,0,0
89,28,14-09-2025,surface_area,surface,0,0,0,0
89.25,28,14-09-2025,surface_area,surface,0,0,0,0
89.5,28,14-09-2025,surface_area,surface,0,0,0,0
89.75,28,14-09-2025,surface_area,surface,0,0,0,0
90,28,14-09-2025,surface_area,surface,0,0,0,0
90.25,28,14-09-2025,surface_area,surface,0,0,0,0
90.5,28,14-09-2025,surface_area,surface,0,0,0,0
90.75,28,14-09-2025,surface_area,surface,0,0,0,0
91,28,14-09-2025,surface_area,surface,0,0,0,0
91.25,28,14-09-2025,surface_area,surface,0,0,0,0
91.5,28,14-09-2025,surface_area,surface,0,0,0,0
91.75,28,14-09-2025,surface_area,surface,0,0,0,0
92,28,14-09-2025,surface_area,surface,0,0,0,0
88.75,27.75,14-09-2025,surface_area,surface,0,0,0,0
89,27.75,14-09-2025,surface_area,surface,0,0,0,0
89.25,27.75,14-09-2025,surface_area,surface,0,0,0,0
89.5,27.75,14-09-2025,surface_area,surface,0,0,0,0
89.75,27.75,14-09-2025,surface_area,surface,0,0,0,0
90,27.75,14-09-2025,surface_area,surface,0,0,0,0
90.25,27.75,14-09-2025,surface_area,surface,0,0,0,0
90.5,27.75,14-09-2025,surface_area,surface,0,0,0,0
90.75,27.75,14-09-2025,surface_area,surface,0,0,0,0
91,27.75,14-09-2025,surface_area,surface,0,0,0,0
91.25,27.75,14-09-2025,surface_area,surface,0,0,0,0
91.5,27.75,14-09-2025,surface_area,surface,0,0,0,0
91.75,27.75,14-09-2025,surface_area,surface,0,0,0,0
92,27.75,14-09-2025,surface_area,surface,0,0,0,0
88.75,27.5,14-09-2025,surface_area,surface,0,0,0,0
89,27.5,14-09-2025,surface_area,surface,0,0,0,0
89.25,27.5,14-09-2025,surface_area,surface,0,0,0,0
89.5,27.5,14-09-2025,surface_area,surface,0,0,0,0
